Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	6.0000	182.31	0.0054852	389.25	422.16	1.7496	0.96413	2.9858	207.78	10.280	17.892	0.030800	vapor
301.67	6.0000	176.17	0.0056764	392.81	426.87	1.7652	0.93984	2.6887	211.19	10.170	17.819	0.029635	vapor
303.33	6.0000	170.89	0.0058516	396.05	431.16	1.7794	0.92046	2.4711	214.26	10.051	17.772	0.028757	vapor
305.00	6.0000	166.26	0.0060146	399.05	435.14	1.7925	0.90457	2.3038	217.07	9.9278	17.745	0.028074	vapor
306.67	6.0000	162.13	0.0061680	401.85	438.86	1.8047	0.89127	2.1705	219.69	9.8016	17.733	0.027530	vapor
308.33	6.0000	158.39	0.0063134	404.50	442.38	1.8161	0.87995	2.0615	222.13	9.6744	17.732	0.027089	vapor
310.00	6.0000	154.99	0.0064522	407.03	445.74	1.8270	0.87020	1.9705	224.44	9.5472	17.740	0.026728	vapor
311.67	6.0000	151.85	0.0065854	409.45	448.96	1.8374	0.86170	1.8932	226.63	9.4207	17.756	0.026430	vapor
313.33	6.0000	148.95	0.0067136	411.78	452.06	1.8473	0.85423	1.8267	228.73	9.2953	17.778	0.026182	vapor
315.00	6.0000	146.25	0.0068376	414.03	455.05	1.8568	0.84761	1.7687	230.73	9.1713	17.805	0.025977	vapor
316.67	6.0000	143.72	0.0069578	416.21	457.96	1.8660	0.84172	1.7178	232.65	9.0491	17.837	0.025806	vapor
318.33	6.0000	141.35	0.0070746	418.34	460.78	1.8749	0.83644	1.6726	234.51	8.9287	17.873	0.025665	vapor
320.00	6.0000	139.11	0.0071883	420.41	463.54	1.8835	0.83170	1.6322	236.30	8.8102	17.911	0.025548	vapor
321.67	6.0000	137.00	0.0072993	422.43	466.23	1.8919	0.82744	1.5960	238.04	8.6937	17.953	0.025453	vapor
323.33	6.0000	134.99	0.0074078	424.41	468.86	1.9001	0.82358	1.5632	239.73	8.5792	17.997	0.025377	vapor
325.00	6.0000	133.08	0.0075140	426.35	471.44	1.9080	0.82010	1.5335	241.37	8.4666	18.044	0.025317	vapor
326.67	6.0000	131.27	0.0076181	428.26	473.97	1.9158	0.81695	1.5064	242.96	8.3561	18.092	0.025272	vapor
328.33	6.0000	129.53	0.0077203	430.14	476.46	1.9234	0.81410	1.4816	244.52	8.2475	18.142	0.025239	vapor
